; CSV, generated by atk_libsigrok4 1.0.0 on 2026-07-31 11:04:28
; Channels (5/16)
; ChannelsType: 31
; Sample rate: 20 MHz
; Sample count: 9.536743 M
; Sampling time: 2026-07-31 10:59:07.619
SystemTime, Time(s), STV_mode, oepsn, ud, cpv, chip_sel
'2026-07-31 10:59:07.709782300,0.022782300,0,0,0,1,0
'2026-07-31 10:59:07.709929300,0.022929300,0,0,0,0,1
'2026-07-31 10:59:07.709932250,0.022932250,0,0,0,0,0
'2026-07-31 10:59:07.709932300,0.022932300,0,0,0,1,0
'2026-07-31 10:59:07.710079300,0.023079300,0,0,0,0,1
'2026-07-31 10:59:07.710082250,0.023082250,0,0,0,0,0
'2026-07-31 10:59:07.710082300,0.023082300,0,0,0,1,0
'2026-07-31 10:59:07.710229300,0.023229300,0,0,0,0,1
'2026-07-31 10:59:07.710232250,0.023232250,0,0,0,0,0
'2026-07-31 10:59:07.710232300,0.023232300,0,0,0,1,0
'2026-07-31 10:59:07.710379300,0.023379300,0,0,0,0,1
'2026-07-31 10:59:07.710382250,0.023382250,0,0,0,0,0
'2026-07-31 10:59:07.710382300,0.023382300,0,0,0,1,0
